"X","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
2599,7,2016,5326,"Coleman, Brandon","WR","nor","a","kan",8,3000
2700,7,2016,4552,"Fleener, Coby","TE","nor","a","kan",6.4,3800
2479,7,2016,2604,"Hightower, Tim","RB","nor","a","kan",5.4,3000
2488,7,2016,2869,"Cadet, Travaris","RB","nor","a","kan",2.7,3000
2723,7,2016,4586,"Hill, Josh","TE","nor","a","kan",1.6,2500
2514,7,2016,2549,"Kuhn, John","RB","nor","a","kan",0.3,3000
2670,7,2016,5496,"Lewis, Tommylee","WR","nor","a","kan",0,3000
2794,7,2016,7019,"New Orleans Defense","Def","nor","a","kan",0,2000
2807,8,2016,1151,"Brees, Drew","QB","nor","h","sea",20.7,6900
2943,8,2016,5255,"Cooks, Brandin","WR","nor","h","sea",14.4,7300
2852,8,2016,2604,"Hightower, Tim","RB","nor","h","sea",14.2,3000
2953,8,2016,5459,"Thomas, Michael","WR","nor","h","sea",12.3,5000
2955,8,2016,5287,"Snead, Willie","WR","nor","h","sea",11.6,5800
3060,8,2016,4552,"Fleener, Coby","TE","nor","h","sea",7.6,3400
2983,8,2016,5326,"Coleman, Brandon","WR","nor","h","sea",6.4,3000
3124,8,2016,7019,"New Orleans Defense","Def","nor","h","sea",4,2000
2877,8,2016,2549,"Kuhn, John","RB","nor","h","sea",3.2,3000
2885,8,2016,2869,"Cadet, Travaris","RB","nor","h","sea",1.7,3000
2887,8,2016,5487,"Lasco, Daniel","RB","nor","h","sea",1.5,3000
3088,8,2016,4586,"Hill, Josh","TE","nor","h","sea",1.3,2500
3032,8,2016,5496,"Lewis, Tommylee","WR","nor","h","sea",0,3000
2918,8,2016,2793,"Ingram, Mark","RB","nor","h","sea",-0.5,5000
